rw,r,Tu,Hu,Tl,Hl,L,Kw,y
0.075392276,5851.9185,77517.39,1080.5555,77.37037,811.3523,1417.5273,11496.141,38.855164
0.082584746,11945.443,66504.59,1060.7059,106.76372,775.2213,1157.585,10310.522,54.299038
0.09896858,20960.953,74745.36,1010.135,87.6416,757.4148,1346.9977,10072.434,57.85352
0.08555819,31332.873,65218.242,1057.0532,75.99019,814.7021,1386.6392,10850.466,43.401894
0.111539155,25692.494,79486.445,1047.1123,111.92326,761.49194,1622.3333,11001.891,75.35321
0.113366336,25306.787,89002.28,1004.8459,92.21361,813.09076,1296.2963,11442.201,67.824936
0.1421609,26469.22,102279.18,1077.2599,115.24618,791.1336,1293.7621,11305.568,157.28317
0.14368083,41638.6,83912.97,991.78394,75.74209,736.2757,1183.8441,10933.915,150.66293
0.11231692,3565.0637,109107.25,1108.0647,115.65243,713.0484,1591.801,11860.028,116.15151
0.07430522,44841.53,95129.57,993.5914,111.614784,701.4666,1279.9435,10589.72,41.80882
0.14424267,36410.035,93292.86,1009.3002,108.37198,738.74817,1587.0798,11043.353,122.03734
0.087882504,32428.48,89029.67,993.5515,92.079796,735.9461,1656.7048,10094.922,37.961708
0.054360222,8745.616,68676.03,1014.203,81.1677,741.89435,1151.3643,11111.88,24.346346
0.07342963,41759.65,115415.89,1037.0146,104.64409,763.66345,1663.2687,11186.33,31.070045
0.14879261,8748.664,89923.08,1038.6212,76.40106,730.0497,1504.5518,11729.746,165.26894
0.098443225,15489.013,80429.055,996.0613,75.42744,706.3931,1665.3363,11448.368,60.307705
0.06612147,35033.5,72816.47,1015.62726,79.592766,769.79333,1623.3735,11616.617,24.099781
0.06995658,46882.66,78840.516,1060.284,112.776825,813.0831,1260.3284,11891.793,35.7625
0.059760023,42940.645,77670.21,1067.8033,72.10403,781.40204,1639.2805,11890.087,23.250187
0.06013933,15777.572,76717.2,1084.9746,65.65171,814.88385,1455.1365,10922.634,22.976318
0.10818248,47302.7,87032.69,1072.1172,68.76434,713.1121,1153.493,11781.208,133.30922
0.087402575,37522.05,79944.45,1062.2124,77.60919,783.5521,1595.0953,10991.419,45.88097
0.120457165,25750.79,79113.76,1031.9666,104.137505,708.8863,1321.4883,11719.418,129.6234
0.13058186,44641.227,85070.68,1044.3818,103.258705,746.5108,1569.4194,10741.741,108.43254
0.07413487,22033.879,69509.99,1065.4924,111.81506,760.7435,1507.9542,11156.503,38.8402
0.099115446,27712.084,109893.6,1018.7394,104.12336,759.6114,1151.8606,11135.56,76.87407
0.12488793,38721.094,98541.44,1053.895,114.58756,724.97064,1498.3997,11836.95,126.46
0.051284917,23810.037,94780.61,1015.56683,66.83061,791.98193,1379.9374,11305.147,15.103419
0.13828757,29922.836,84503.91,1020.5613,96.2401,812.36884,1502.0853,10932.379,90.23105
0.108242884,6012.3994,112532.0,1021.7263,105.91769,767.4039,1328.8695,10545.5,73.93307
0.123218894,21673.666,68815.516,1017.7132,98.645676,804.3778,1242.0237,10097.903,82.10972
0.13549381,20198.908,95387.65,1031.5458,78.82583,800.285,1552.7426,10392.951,88.45314
0.07992015,16490.346,81540.53,1095.1401,101.54878,742.9408,1168.9879,9881.408,59.545307
0.09845682,31806.07,109669.2,1035.6678,105.90658,787.526,1122.7034,11148.697,74.610794
0.11707261,41345.758,88967.87,1063.3009,110.15917,744.57825,1626.2012,10749.796,90.24457
0.06807493,10683.831,92586.586,1019.4598,100.87592,749.54095,1674.6729,10785.991,25.264965
0.1268912,45905.523,80543.46,1104.9688,96.54311,805.13684,1166.2955,9933.257,128.0086
0.10770164,17425.19,86248.36,1003.4492,103.59562,728.30493,1171.4298,11205.671,95.29993
0.10651604,8409.959,86799.24,1018.0492,92.027,752.2122,1578.0565,10255.657,61.30228
0.10539988,8264.658,87751.12,1102.9391,113.46559,705.7373,1293.5219,9920.112,105.86396
0.1490485,43897.42,98400.74,997.8216,113.03306,738.4971,1639.7241,11439.581,125.184456
0.06930266,43583.47,93976.664,1022.8738,106.05617,805.6392,1569.7482,11315.605,23.576534
0.11833896,554.56915,109165.78,1061.3185,96.98192,764.61755,1608.2783,10160.5,82.14961
0.08540021,43441.258,101481.414,1074.8654,75.52941,773.0282,1563.9899,10763.723,47.388794
0.10326591,40565.9,98186.64,1078.1824,92.80231,778.1515,1320.122,11459.804,86.69801
0.08262837,32396.854,112225.79,1065.6006,107.51355,764.77484,1389.8778,10258.862,47.48273
0.054657217,2848.4817,89880.336,992.2977,76.27491,732.0729,1137.2455,9866.721,21.150026
0.14096041,3115.6938,69045.31,1084.2706,90.80239,796.5005,1330.0132,10982.658,147.00389
0.12564099,48777.527,81828.555,1100.8325,90.79806,811.86237,1471.3829,10473.992,101.20537
0.11381903,17191.52,69307.32,1102.3735,69.94438,724.36896,1341.0231,10848.197,123.34783
0.11869416,19961.521,104336.016,1056.2715,76.18532,734.3829,1163.6927,10822.059,131.13306
0.061880585,40293.848,83630.79,1085.9148,105.2599,797.82587,1433.9259,10882.238,26.252699
0.0565955,20897.096,80900.2,1084.3337,103.188286,803.3159,1330.5863,10830.81,22.980621
0.113837555,26616.055,70046.3,1071.6853,114.832085,710.9858,1527.9885,10372.381,99.21331
0.074854635,15237.491,107651.516,993.6705,82.731445,776.7342,1158.5306,9903.363,32.528156
0.094494455,25193.674,65495.555,1094.7356,78.57791,789.377,1576.326,10499.165,56.78458
0.09105535,15606.922,101203.984,1012.96576,73.25686,708.06616,1583.4705,10495.034,52.400024
0.13573848,13847.846,70952.96,1085.0874,88.45845,790.3265,1512.1891,11930.955,133.35016
0.08480206,38776.434,114791.44,1071.8827,98.68774,712.64795,1542.7444,11623.363,60.929348
0.12163938,48455.805,83566.53,1046.4102,91.414024,737.5793,1260.1163,11745.119,132.51262
0.080942735,10536.779,64894.58,1026.8568,100.13808,753.7606,1124.3488,10990.038,54.73745
0.14066322,325.31842,86697.78,1042.7227,87.529785,753.811,1320.5365,11295.027,152.46481
0.0830734,42758.0,73019.46,1036.7476,64.55084,734.6752,1246.1366,11232.79,58.662563
0.1438149,15095.414,69198.05,1064.3323,86.55405,769.6311,1175.1914,9958.121,160.37926
0.13481908,37611.49,110059.9,1032.508,79.82159,804.94806,1592.069,9989.952,80.811676
0.10144139,36510.8,95209.6,1103.2784,102.93224,803.6303,1266.0881,10687.929,81.3356
0.1129109,318.5494,108983.625,1105.5875,68.61772,752.79266,1314.1937,11616.061,124.084496
0.116826795,33707.77,108459.07,1059.3757,75.568405,702.62317,1391.663,11796.302,128.42549
0.11420556,11801.87,103844.555,1082.4441,78.08898,782.06213,1512.3566,10307.162,83.336716
0.10314756,9586.426,66111.89,1044.3138,102.87034,802.0151,1199.1412,11308.993,75.95434
0.103395194,12692.482,105460.445,1104.1603,82.84604,701.6289,1302.1912,9897.834,102.170425
0.053107813,10604.868,87034.92,1029.334,80.65747,721.17596,1301.4513,11358.689,23.786566
0.075078614,11583.116,65144.33,1022.0233,76.023476,778.8257,1677.4154,11721.007,30.000086
0.14039381,10279.935,99011.125,1086.1552,79.72045,720.8105,1170.6648,10342.081,197.44182
0.09887336,26162.21,96737.36,1013.2779,92.66886,753.90936,1547.588,10076.259,51.642773
0.07372347,39371.34,96710.22,1062.8698,98.4367,715.09924,1580.4333,10646.834,39.90557
0.09347539,40676.56,69903.88,992.57196,74.40815,790.66254,1263.8174,9941.325,43.33729
0.10709583,23885.725,78641.21,1012.21436,86.817764,753.0773,1123.856,11959.397,98.50897
0.100369036,3921.574,74261.336,1043.2072,63.45415,803.356,1560.5276,10039.01,48.570217
0.056239653,27082.666,87003.59,1091.266,75.72116,724.80566,1165.538,10317.41,32.155563
0.1465218,17903.857,93855.76,1027.2031,105.95822,798.67896,1484.1398,10978.306,113.01792
0.086885355,45791.594,99409.1,1030.4976,65.43949,748.37054,1366.0032,10830.168,52.73036
0.12077825,48374.145,113375.89,1084.8842,70.75919,771.96814,1133.7509,11494.129,143.44792
0.12172125,14271.722,101669.71,1070.0017,108.79914,734.25214,1321.4718,10334.449,121.46015
0.065614335,26174.99,70903.125,1094.4155,104.79564,818.85944,1284.3823,10989.095,31.815613
0.1293274,8860.351,83011.66,1037.8821,69.95287,730.4634,1663.3528,10947.915,105.39421
0.093406856,8106.1353,104381.29,1075.5592,81.04367,714.4695,1250.5979,10415.498,82.01152
0.10533828,36088.426,86254.27,1104.0782,76.49991,786.3033,1653.7799,10440.696,69.5288
0.115438044,48923.758,75943.98,1102.7509,67.209236,805.82294,1561.8861,11179.045,88.16091
0.1363414,35063.332,97732.65,1036.2234,104.38656,805.46484,1645.0778,10839.141,88.146645
0.14971112,145.26097,86545.13,1095.2627,73.15039,738.2726,1239.0492,10613.867,213.39967
0.09221246,39985.97,88218.6,1024.812,91.02567,741.3832,1542.1099,10443.245,51.06368
0.08378423,20939.207,90610.586,1089.5043,88.3095,778.6781,1172.1936,10143.559,59.064793
0.12638603,38799.523,94513.79,1108.2682,110.185265,713.4988,1552.6635,10259.364,130.11024
0.10953642,18421.24,101440.9,1002.0524,79.2296,702.6648,1173.6821,10497.036,100.11283
0.08494549,27791.666,114189.77,1103.212,104.80343,767.58014,1476.7566,10670.035,54.799923
0.06955905,3946.4614,78835.71,1084.0873,84.518074,728.8533,1431.8217,10950.819,41.199203
0.10890173,33917.59,113169.98,1071.1599,115.2697,766.14465,1287.866,11444.3,100.40448
0.05189421,4236.687,89634.22,1021.34784,69.884094,704.9197,1588.5664,11099.609,18.676863
0.11789504,13984.846,100276.97,1092.7225,75.86831,743.28546,1126.6991,10027.667,134.51839
0.0949773,17339.648,99784.4,1084.65,84.897255,810.4364,1318.2981,10289.527,60.35068
0.10182812,31873.355,64383.89,1022.7675,114.1797,725.44226,1426.965,10286.087,69.52738
0.10605018,48050.87,98021.23,1026.9315,100.29178,761.1026,1167.2195,11515.493,91.99922
0.07944716,18361.885,108298.99,1053.2997,71.48719,725.27844,1379.1294,11440.306,53.713078
0.080383316,44818.5,81163.336,1096.4755,74.12192,707.6857,1571.068,10363.706,51.864006
0.13521811,49149.984,96210.67,1067.8806,101.04832,810.7023,1672.4414,9939.078,87.19
0.12756348,5469.882,81126.484,1046.2869,112.05667,713.6316,1197.362,11013.073,155.30777
0.09815041,18008.908,108783.15,996.0204,102.11955,787.6235,1448.8356,11889.546,51.5154
0.086788826,19765.291,92913.164,1031.4341,115.56339,814.73303,1264.5043,10044.129,40.601692
0.13267554,34790.164,97324.98,1094.9962,89.6019,720.7806,1155.282,11765.098,208.14659
0.055891328,40410.68,67404.62,1019.3523,113.77904,737.9087,1178.2329,10868.577,25.434847
0.060424544,44827.65,78467.07,1033.5123,102.363945,780.3702,1638.0864,12006.591,21.24498
0.11510638,37458.176,113235.68,1090.8231,84.82191,796.4747,1346.6359,9959.329,89.95295
0.104499646,7679.024,68931.266,1044.4083,78.86833,728.4698,1135.2916,10729.253,101.68768
0.08078764,18672.535,71074.766,1009.8712,93.29429,752.45715,1515.085,10080.015,35.014507
0.05295374,47444.113,115406.69,1093.6246,100.45341,767.1046,1390.0685,10260.35,21.201452
0.10051774,37188.484,69095.48,1088.1675,81.293526,818.9735,1584.2858,11435.891,61.325848
0.09536347,30959.793,91234.305,1069.1133,103.231415,719.05396,1240.1796,10172.728,81.66189
0.06683893,31399.787,66507.984,997.6859,112.24179,812.50006,1309.4208,11092.684,21.96935
0.14324579,39341.027,77880.34,1095.2972,111.150986,720.5074,1193.3611,11611.277,232.45845
0.05421103,29373.957,74762.86,1105.0581,73.3962,806.1546,1582.928,11621.752,20.221987
0.09070144,36334.23,101761.77,1106.5481,105.57515,792.28046,1301.3633,10030.106,62.3597
0.13619187,7322.996,105337.02,1044.2944,86.68168,806.38306,1258.6487,10273.246,112.08713
0.10511373,23504.361,112989.81,1053.3688,95.27848,727.12054,1390.6953,10877.905,88.08638
0.14335708,18739.998,92240.52,1025.2709,83.002525,793.9339,1517.5239,10507.734,102.38564
0.12789853,40627.414,100385.695,1103.9385,75.80367,814.39954,1141.332,10867.332,139.85524
0.09176218,32441.447,109050.48,1063.1466,99.22107,716.1491,1165.6758,11040.847,86.49719
0.09229533,17118.934,97854.1,1017.23096,105.21732,803.0767,1240.6167,11947.449,54.931625
0.09419697,9778.758,97670.27,1048.9708,94.72928,814.726,1513.196,10508.525,45.176258
0.11554001,31294.418,89372.35,1019.6051,110.097466,780.65845,1304.0115,9928.143,75.85756
0.13035522,23156.324,85345.836,1064.2491,112.82837,788.34595,1174.2019,11934.794,148.33066
0.12338207,34471.88,70361.19,1039.4775,71.474655,795.76825,1633.2175,10874.167,76.91829
0.06097394,37635.086,79247.43,1085.2133,72.0015,705.194,1284.7971,11331.047,39.0267
0.1267405,26824.43,82617.28,1094.3799,94.489845,770.7019,1222.7705,11129.303,147.26903
0.07241087,38891.562,68692.41,1001.17426,81.17998,810.91266,1501.474,10851.173,22.580341
0.1233657,40192.492,71005.95,1017.4107,88.20755,737.05145,1342.6093,11069.309,109.525734
0.078909956,26030.18,98249.375,1030.8356,78.45577,813.6938,1513.8026,10587.974,29.60536
0.12415605,5420.602,96802.81,1107.8617,95.50551,726.53906,1282.5972,10505.022,150.18472
0.11606358,20465.734,103434.14,1050.8711,114.54311,759.6649,1235.6823,10757.559,106.627426
0.09178245,48642.23,92205.93,1050.0216,113.2588,789.6464,1485.4958,11398.775,52.677258
0.14564092,24397.295,109625.945,995.2407,85.99906,779.2464,1275.0111,9898.493,110.46821
0.10954776,14427.055,107261.39,1058.9756,105.186386,754.8803,1657.2761,11620.094,80.008545
0.08996083,47086.582,72867.64,1064.7213,81.836914,811.81757,1344.4309,11299.607,53.748226
0.0548324,32788.85,105998.664,1081.9087,111.21928,782.5187,1311.6389,11744.197,25.279673
0.107062556,13029.985,78205.21,1041.2125,80.15963,754.70514,1347.3318,11728.872,89.16321
0.104794174,20137.87,91437.32,1040.3411,100.68944,757.79517,1671.4501,10147.25,58.9414
0.10862812,4756.692,111156.17,1107.6874,93.861786,781.9962,1194.5162,11685.7,117.34264
0.062645264,7395.447,91703.61,1024.3151,95.15806,782.2086,1439.2119,10300.581,21.326572
0.1365702,4965.831,112635.73,1066.9468,76.01111,788.6247,1369.8911,11987.659,141.119
0.13897976,13497.052,83411.13,996.85724,76.12665,814.76733,1120.8765,11238.015,109.18611
0.10244969,40761.53,73838.94,1035.0594,107.39449,721.5249,1377.6635,10380.437,77.52989
0.13676114,11531.013,94758.555,995.16266,98.24017,790.3692,1326.3585,11138.13,100.14257
0.1036429,39203.457,75436.91,1042.8656,87.0506,722.92664,1151.9402,11459.131,106.5624
0.12528113,26697.639,99487.21,1100.9451,96.01892,802.4083,1644.7815,10648.016,94.681786
0.07461668,33382.457,75056.234,1070.6869,107.51949,770.90717,1615.7686,10788.143,34.931263
0.08066867,39571.76,92651.85,1022.3667,70.925865,717.4614,1596.1882,11589.804,45.06338
0.111302875,49369.027,107445.52,1079.2623,84.92035,785.11847,1370.5294,11840.42,98.0967
0.10494754,949.0881,73973.49,1059.9998,94.74025,807.12305,1262.2532,10252.418,70.764725
0.14571783,48025.51,114959.61,1049.6005,76.37489,790.83655,1566.4569,11986.609,130.32353
0.1008939,15940.139,88015.79,995.72766,100.301,712.4838,1678.8759,11962.996,64.26636
0.07529591,21925.828,66299.43,1091.4667,112.65279,759.27716,1496.7776,11330.064,44.679913
0.14694239,39478.723,90561.58,1061.8606,75.415504,751.3661,1561.0264,10404.777,138.72876
0.09767263,10907.981,99207.93,1097.6462,110.276634,710.1701,1173.4537,10633.772,104.75763
0.1145755,5513.2476,88530.15,1052.7229,104.113365,727.1148,1622.725,10051.063,82.82642
0.11354968,21329.605,85095.016,1035.4327,68.30976,769.59247,1245.9817,11385.231,97.374405
0.07649588,38663.918,70932.53,1068.6731,95.1283,715.6389,1329.1124,11152.138,54.270985
0.05933776,48955.66,112047.66,1108.2328,63.36142,732.7001,1590.8485,11867.057,30.89932
0.062503606,1378.1388,106076.664,1084.7495,63.213585,746.874,1300.359,11696.256,37.19582
0.120120145,25753.664,106659.89,1024.5864,80.58732,785.55615,1596.6414,10206.372,68.77902
0.116104946,1314.383,63834.793,1108.659,115.04075,807.432,1483.1528,9905.548,84.889046
0.059881493,27692.473,101667.84,1038.8549,70.01639,768.41174,1379.4303,10251.132,22.584253
0.09715344,8731.327,66809.8,1098.7194,95.529915,791.5477,1416.6405,10764.473,68.91635
0.09833393,36330.17,74513.96,1084.7992,97.69765,730.4933,1433.7673,11368.032,84.91017
0.113580965,27537.268,109978.5,1108.0295,100.7137,706.9033,1677.5024,9949.399,95.96951
0.14451505,8925.812,74413.98,1038.3677,75.551476,804.68744,1450.6042,11462.085,119.70344
0.099269815,48525.758,82786.38,1073.8607,92.434235,781.6263,1418.2721,10561.033,67.0205
0.10764525,3974.219,74998.27,1082.7955,91.23633,767.17053,1398.8008,10291.647,84.12185
0.057721756,8892.751,114175.38,1036.3689,102.20358,788.4049,1427.4987,11308.938,20.530228
0.12787236,7645.029,65781.04,1009.64435,104.216255,705.1351,1430.6964,11572.482,125.648575
0.07723385,29913.168,64322.465,990.08215,107.637886,701.3311,1372.3511,11975.61,47.072784
0.064425275,35022.465,76910.016,1093.2003,81.9391,812.62756,1544.2462,10074.39,23.815655
0.09735536,34426.496,103661.33,1048.1735,101.26809,710.08746,1289.1283,10447.999,81.19559
0.120203815,5255.036,72639.61,998.2117,110.45615,719.5822,1491.107,11552.54,97.46154
0.1448166,49301.043,80759.61,1067.667,75.40303,715.63196,1256.7606,9914.235,180.44577
0.122381575,14673.5625,100576.664,1108.4922,85.4179,807.7494,1120.7566,11764.43,146.95486
0.092608474,27910.83,101322.09,994.4966,68.61673,803.9867,1469.9768,10836.443,37.620678
0.109897204,27235.46,72453.88,1092.8595,72.98885,816.8427,1420.5513,11988.882,87.62469
0.07242543,37542.992,87739.086,1081.6035,76.83003,703.2569,1242.5267,11086.324,55.407066
0.14622656,27063.857,95858.695,993.3986,110.76849,786.98773,1522.5503,10156.3955,91.77426
0.12519716,35644.832,83689.95,995.50885,108.83744,780.0395,1218.7031,10518.013,90.86136
0.13251853,46320.69,98611.86,1067.0999,105.211296,793.0979,1538.0779,11518.2,112.30745
0.13889022,6619.5605,78245.23,1026.7313,77.02357,809.5448,1668.8838,10962.244,85.69681
0.14773576,39631.13,68882.43,1020.04834,67.04497,709.32996,1486.0798,11126.197,157.11612
0.082987204,38638.492,91218.78,1033.4817,76.457375,712.2618,1283.2231,10889.33,58.682816
0.14735608,1496.201,85565.02,1102.9059,86.88556,747.2288,1135.2122,10308.254,218.0333
0.07254283,5506.832,111437.73,1065.7218,80.42172,729.54144,1394.1816,11944.404,47.466755
0.09532961,34932.723,71116.945,1087.0171,76.791855,709.89844,1259.8988,10713.274,90.965485
0.14662394,37097.305,85727.695,1101.3121,87.97177,787.5621,1541.539,9965.916,135.66083
0.05414822,48085.77,112747.55,1097.6528,111.26934,787.81555,1487.6339,11602.786,22.228323
0.122697264,2814.3962,88230.41,1048.8097,77.31752,763.2594,1222.965,10556.385,115.59826
0.1496991,8822.395,67087.484,1008.6269,83.08567,738.76086,1487.4998,11782.96,148.75151
0.10719685,13080.118,106770.945,1006.41785,72.87647,749.1588,1190.9651,10053.456,77.790504
0.06868692,21841.783,70129.54,998.0041,77.288994,807.91486,1538.1713,10770.632,19.675068
0.1048923,10305.552,84267.945,996.3617,94.881805,775.5247,1417.2249,10560.39,56.597355
0.10018552,40367.977,83349.77,1045.7229,70.067566,792.09674,1241.5819,11186.864,71.46304
0.118886724,37732.074,86469.92,1068.8369,71.910484,713.5342,1357.8683,11667.978,134.13065
0.06349587,29347.27,95280.05,1002.30035,109.4098,768.38837,1527.409,10230.992,19.813274
0.07549474,43038.1,93990.11,1076.705,80.27524,752.44086,1239.2736,11370.356,53.041607
0.07825279,22998.816,85786.086,1039.8622,95.27342,729.0939,1513.0496,9861.425,38.86223
0.14021881,20798.834,73355.93,1060.4738,67.2721,786.86096,1176.1278,10449.707,147.86983
0.13649844,12993.641,74658.12,997.97455,85.953476,785.2542,1229.9324,11167.667,111.79384
0.07666886,8204.111,115185.29,1092.8843,82.8933,767.4466,1383.7927,11359.27,49.166885
0.107161015,23491.855,92083.87,1049.3152,69.22032,708.2842,1596.933,11727.744,89.68119
0.12171906,34935.44,109628.66,1049.4735,111.18538,786.7682,1386.1473,11348.682,99.42645
0.05897703,40962.81,70096.58,1078.9889,70.03315,708.97363,1223.8093,11800.0205,38.86032
0.08629612,13451.517,80880.12,1107.0508,82.33772,789.94495,1158.4178,11882.169,75.67678
0.12523091,20704.74,108896.87,1011.84686,81.42087,759.06415,1541.2063,12030.307,96.344734
0.13331439,1586.3884,108341.66,1022.0579,91.180786,815.2616,1231.0128,11762.575,109.37162
0.14227246,15010.906,100377.49,1078.9196,97.49264,784.9814,1559.4958,11798.702,140.14134
0.100305796,8587.052,89926.805,1068.2556,88.63904,799.7309,1505.1743,11466.673,64.34389
0.108768,28481.662,89403.44,1050.2195,105.76062,754.5603,1432.4072,10508.487,80.2042
0.07874271,1097.7845,113026.01,1049.1873,106.06565,779.41895,1138.0616,10258.7295,47.249554
0.14677563,21690.11,68162.67,1094.8868,92.98005,759.95325,1582.9523,10059.748,142.8043
0.14670615,36705.74,77676.74,1072.8206,106.032715,811.0388,1333.5562,11362.833,149.21468
0.07057967,47858.957,78012.664,991.05505,105.78362,766.7322,1203.9323,11505.56,33.448486
0.09526426,6310.065,114572.62,1070.4194,79.93369,777.56635,1566.184,9930.185,52.728
